# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.4000 3.4806 0.4390 1.0000 1.1384
0.0000 0.4000 6.8020 0.4634 1.0000 2.1645
0.0000 0.4000 6.7203 0.4878 1.0000 2.0564
0.0000 0.4000 7.8660 0.5122 1.0000 2.2967
0.0000 0.4000 4.0707 0.5366 1.0000 1.1416
0.0000 0.4000 1.1900 0.5610 1.0000 0.3201
0.0000 0.4000 8.5046 0.5854 1.0000 2.1984
0.0000 0.4000 4.8816 0.6098 1.0000 1.2262
0.0000 0.4000 6.6534 0.6341 1.0000 1.6334
0.0000 0.4000 8.6023 0.6585 1.0000 2.0643
0.0000 0.4000 6.2213 0.6829 1.0000 1.4631
0.0000 0.4000 4.9987 0.7073 1.0000 1.1505
0.0000 0.4000 8.9910 0.7317 1.0000 2.0228
0.0000 0.4000 7.4900 0.7561 1.0000 1.6488
0.0000 0.4000 8.0108 0.7805 1.0000 1.6927
0.0000 0.4000 5.8199 0.8049 1.0000 1.1758
0.0000 0.4000 1.4322 0.8293 1.0000 0.2803
0.0000 0.4000 2.1303 0.8537 1.0000 0.4075
0.0000 0.4000 2.3604 0.8780 1.0000 0.4421
0.0000 0.4000 3.7619 0.9024 1.0000 0.6916
0.0000 0.4000 4.0155 0.9268 1.0000 0.7252
0.0000 0.4000 1.4424 0.9512 1.0000 0.2561
0.0000 0.4000 4.2513 0.9756 1.0000 0.7422
0.0000 0.4000 2.5967 0.0000 1.0000 1.3342
0.0000 0.4000 4.2293 1.0000 0.0000 1.0226
0.0000 0.4000 3.6428 1.0000 1.0000 0.6256
0.0000 0.5000 1.6808 1.0000 0.0244 0.3517
0.0000 0.5000 6.0101 1.0000 0.0488 1.2760
0.0000 0.5000 7.5272 1.0000 0.0732 1.7199
0.0000 0.5000 1.5923 1.0000 0.0976 0.3625
0.0000 0.5000 2.9685 1.0000 0.1220 0.6575
0.0000 0.5000 3.1411 1.0000 0.1463 0.6711
0.0000 0.5000 1.0465 1.0000 0.1707 0.2113
0.0000 0.5000 6.6688 1.0000 0.1951 1.3282
0.0000 0.5000 1.0424 1.0000 0.2195 0.2254
0.0000 0.5000 3.7775 1.0000 0.2439 0.8420
0.0000 0.5000 9.3795 1.0000 0.2683 2.0689
0.0000 0.5000 2.4523 1.0000 0.2927 0.5384
0.0000 0.5000 5.7404 1.0000 0.3171 1.2901
0.0000 0.5000 3.6353 1.0000 0.3415 0.8491
0.0000 0.5000 6.6343 1.0000 0.3659 1.6448
0.0000 0.5000 6.1079 1.0000 0.3902 1.5412
0.0000 0.5000 2.2552 1.0000 0.4146 0.5607
0.0000 0.5000 1.2001 1.0000 0.4390 0.2909
0.0000 0.5000 2.3623 1.0000 0.4634 0.5699
0.0000 0.5000 7.9637 1.0000 0.4878 1.9336
0.0000 0.5000 9.3478 1.0000 0.5122 2.3114
0.0000 0.5000 4.3363 1.0000 0.5366 1.0649
0.0000 0.5000 9.9927 1.0000 0.5610 2.3726
0.0000 0.5000 3.7930 1.0000 0.5854 0.8921
0.0000 0.5000 7.1357 1.0000 0.6098 1.5915
0.0000 0.5000 5.8900 1.0000 0.6341 1.2853
0.0000 0.5000 7.6766 1.0000 0.6585 1.6642
0.0000 0.5000 7.2349 1.0000 0.6829 1.5560
0.0000 0.5000 1.2927 1.0000 0.7073 0.2759
0.0000 0.5000 5.9436 1.0000 0.7317 1.2582
0.0000 0.5000 5.1410 1.0000 0.7561 1.0505
0.0000 0.5000 5.6685 1.0000 0.7805 1.1052
0.0000 0.5000 3.8463 1.0000 0.8049 0.7346
0.0000 0.5000 9.5848 1.0000 0.8293 1.8099
0.0000 0.5000 8.8312 1.0000 0.8537 1.6576
0.0000 0.5000 9.9584 1.0000 0.8780 1.8956
0.0000 0.5000 1.4162 1.0000 0.9024 0.2672
0.0000 0.5000 5.9210 1.0000 0.9268 1.1058
0.0000 0.5000 9.4472 1.0000 0.9512 1.7486
0.0000 0.5000 9.8932 1.0000 0.9756 1.8110
0.0000 0.5000 7.4782 0.0244 1.0000 4.3447
0.0000 0.5000 8.2969 0.0488 1.0000 4.7200
0.0000 0.5000 5.6632 0.0732 1.0000 3.1454
0.0000 0.5000 3.7274 0.0976 1.0000 2.0199
0.0000 0.5000 7.8335 0.1220 1.0000 4.1195
0.0000 0.5000 7.3957 0.1463 1.0000 3.7839
0.0000 0.5000 5.8223 0.1707 1.0000 2.8933
0.0000 0.5000 6.6545 0.1951 1.0000 3.2164
0.0000 0.5000 2.6785 0.2195 1.0000 1.2597
0.0000 0.5000 3.0132 0.2439 1.0000 1.3748
0.0000 0.5000 8.6049 0.2683 1.0000 3.8222
0.0000 0.5000 4.7360 0.2927 1.0000 2.0435
0.0000 0.5000 7.8692 0.3171 1.0000 3.3007
0.0000 0.5000 2.3397 0.3415 1.0000 0.9546
0.0000 0.5000 9.5223 0.3659 1.0000 3.7796
0.0000 0.5000 3.6494 0.3902 1.0000 1.4085
0.0000 0.5000 7.9762 0.4146 1.0000 3.0020
0.0000 0.5000 4.2653 0.4390 1.0000 1.5604
0.0000 0.5000 3.2050 0.4634 1.0000 1.1437
0.0000 0.5000 9.4084 0.4878 1.0000 3.2734
0.0000 0.5000 1.7005 0.5122 1.0000 0.5763
0.0000 0.5000 6.9867 0.5366 1.0000 2.2991
0.0000 0.5000 5.9139 0.5610 1.0000 1.8380
0.0000 0.5000 4.0410 0.5854 1.0000 1.2062
0.0000 0.5000 9.9473 0.6098 1.0000 2.8187
0.0000 0.5000 6.1086 0.6341 1.0000 1.6695
0.0000 0.5000 2.4591 0.6585 1.0000 0.6530
0.0000 0.5000 9.4818 0.6829 1.0000 2.4570
0.0000 0.5000 7.1440 0.7073 1.0000 1.8066
